Exchange, URL, REPO, DOCS, DEX GRADE, Status, Protocol, Reference, Asset, DLT, ORG, 
Exchangily,https://exchangily.com/, ,https://exchangily.com/assets/pdfs/wp-en.pdf, DOM FULLY DG OPRO RELAY ACL, dev, Fast Access Blockchain protocol, , All, Fast Access Blockchain FAB, , 
Expread,http://expread.io/, , , , dev, payment channels protocol, , , , , 
faast,https://faa.st/,https://github.com/go-faast, , FULLY, dev, 0x protocol,14, , , , 
Fetch Trading,https://www.fetchtrading.com/, , , , dev, 0x protocol, , , , , 
Forkdelta,https://forkdelta.app,https://github.com/forkdelta/, , , operating, on-chain protocol, , , , , 
Freedom Ledger,https://www.freedomledger.com/, , , , dev, bitshares protocol DPOS, , , , , 
Fusion,https://fusion.org/,https://github.com/FUSIONFoundation/,https://docs.wixstatic.com/ugd/76b9ac_be5c61ff0e3048b3a21456223d542687.pdf, , dev, fusion protocol,2, , , , 
GDEX,https://www.gdex.io/, , , , operating, bitshares protocol DPOS, , , , , 
Gimmer,https://gimmer.net/,https://github.com/GimmerBot,https://token.gimmer.net/#whitepaper, , dev, TBC, , , , , 
gnosis-exchange, ,https://github.com/gnosis/gnosis-exchange, , , dev, TBC, , , , , 
Graphene,https://docs.bitshares.eu//index.html, , , , operating, bitshares protocol Graphene,2, , , , 
Heat,https://heatwallet.com,https://github.com/Heat-Ledger-Ltd/,https://heatledger.com/HEATWhitepaper.pdf, , operating, asset-to-asset protocol, , , , , 
Herdius,https://herdius.com/,https://github.com/herdius,https://herdius.com/whitepaper/Herdius_Whitepaper_1.1.pdf, , dev, cross-chain protocol, , , , , 
Huobi DEX, , , , , https://www.nasdaq.com/article/huobi-chain-project-plots-course-toward-a-decentralized-financial-platform-cm974007, TBC, , , Huobi Chain, , 
Hydra,https://libertaria.world/, ,https://libertaria.world/wp-content/uploads/2018/01/Libertaria_Project_Hydra__Vision_Paper-1.pdf, , dev - whitepaper, hydra protocol,2, , , , 
HyperDEX,https://github.com/lukechilds/hyperdex, , , , dev - private testing phase, barterdex protocol, , , , , 
Hodl Hodl,https://hodlhodl.com/, , , DCD DSTT, operating, ,3, , , , 
Hodl⚡️co,https://www.hodlco.io, , , , dev, TBC,6, , , , 
IDEX,https://idex.market/, , , , operating, snowglobe protocol, , , , , 
IDT Exchange,https://kinalpha.com/, , , , operating, 0x protocol, , , , , 
Inbest Network,https://www.inbest.network/, , , , ICO, inbest protocol,4, , , , 
